City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,63.48,60,86,2.04,overcast clouds
1,Bredasdorp,ZA,-34.5322,20.0403,66.54,87,100,16.08,overcast clouds
2,Esperance,AU,-33.8667,121.9,59.36,63,71,12.97,broken clouds
3,Aklavik,CA,68.2191,-135.0107,-7.6,77,75,4.61,broken clouds
4,Busselton,AU,-33.65,115.3333,51.13,80,0,9.1,clear sky
5,Chokurdakh,RU,70.6333,147.9167,-17.1,97,100,11.48,overcast clouds
6,Lebu,CL,-37.6167,-73.65,62.64,70,0,14.14,clear sky
7,Hermanus,ZA,-34.4187,19.2345,67.8,86,100,19.46,overcast clouds
8,Krasnoselkup,RU,65.7,82.4667,-32.89,100,15,3.65,few clouds
9,Kapaa,US,22.0752,-159.319,82.72,66,75,16.11,broken clouds
10,Khatanga,RU,71.9667,102.5,-8.09,96,100,11.74,overcast clouds
11,Te Anau,NZ,-45.4167,167.7167,60.22,65,88,1.16,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,76.55,76,67,17.49,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,71.19,97,100,1.99,light rain
14,Hasaki,JP,35.7333,140.8333,39.6,75,51,11.99,light rain
15,Bluff,NZ,-46.6,168.3333,63.81,80,99,8.99,overcast clouds
16,Vaini,TO,-21.2,-175.2,84.36,74,75,14.97,light rain
17,Kameoka,JP,35.0,135.5833,49.15,88,100,2.55,overcast clouds
18,Shahkot,IN,31.0775,75.3372,57.33,51,0,7.27,clear sky
19,Gambo,CF,4.6482,22.2633,72.16,59,26,0.98,scattered clouds
20,Bagdarin,RU,54.4333,113.6,2.66,88,100,3.67,overcast clouds
21,Tilichiki,RU,60.4667,166.1,-10.57,96,44,2.55,scattered clouds
22,Chuy,UY,-33.6971,-53.4616,70.88,70,91,11.79,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,73.38,72,0,11.01,clear sky
24,Barrow,US,71.2906,-156.7887,-5.78,84,0,9.22,clear sky
25,Nago,JP,26.5881,127.9761,64.83,78,50,15.95,scattered clouds
26,Souillac,MU,-20.5167,57.5167,75.58,88,75,5.75,broken clouds
27,Cockburn Town,TC,21.4612,-71.1419,78.89,65,3,14.03,clear sky
28,Jamestown,US,42.097,-79.2353,39.02,41,100,5.75,overcast clouds
29,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,82,40,34.94,scattered clouds
30,Beringovskiy,RU,63.05,179.3167,13.69,91,87,16.73,light snow
31,Saint George,US,37.1041,-113.5841,54.43,42,0,1.01,clear sky
32,Ushuaia,AR,-54.8,-68.3,48.02,58,40,7.83,scattered clouds
33,Narsaq,GL,60.9167,-46.05,16.02,63,0,9.73,clear sky
34,Haines Junction,CA,60.7522,-137.5108,-16.65,76,55,0.0,broken clouds
35,Upernavik,GL,72.7868,-56.1549,22.08,94,100,12.68,snow
36,Barentu,ER,15.1139,37.5928,67.17,72,0,2.26,clear sky
37,Dikson,RU,73.5069,80.5464,-5.44,100,97,5.44,overcast clouds
38,Tangerang,ID,-6.1781,106.63,82.53,86,20,8.05,few clouds
39,Port Elizabeth,ZA,-33.918,25.5701,70.32,99,100,10.36,moderate rain
40,Port-Cartier,CA,50.0334,-66.8654,11.75,76,1,8.14,clear sky
41,Atuona,PF,-9.8,-139.0333,77.29,76,19,13.78,few clouds
42,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,75,5.75,broken clouds
43,Koumac,NC,-20.5667,164.2833,82.51,71,2,5.23,clear sky
44,Charlestown,AU,-32.95,151.6667,72.01,72,2,1.99,clear sky
45,Hualmay,PE,-11.0964,-77.6139,69.89,78,93,8.21,overcast clouds
46,Matagami,CA,49.7502,-77.6328,6.91,78,0,6.91,clear sky
47,Poum,NC,-20.2333,164.0167,80.42,77,2,6.58,clear sky
48,Tasiilaq,GL,65.6145,-37.6368,21.36,62,33,6.13,scattered clouds
49,Kodiak,US,57.79,-152.4072,31.51,59,75,0.0,broken clouds
50,Qaanaaq,GL,77.484,-69.3632,-2.29,88,98,5.57,overcast clouds
51,Seoul,KR,37.5683,126.9778,29.64,80,0,4.61,clear sky
52,Arrecife,ES,28.963,-13.5477,67.98,83,20,5.75,few clouds
53,Yumen,CN,40.2833,97.2,14.9,70,89,23.13,overcast clouds
54,Coihaique,CL,-45.5752,-72.0662,56.01,76,75,12.66,light rain
55,Sumbe,AO,-11.2061,13.8437,76.21,88,100,5.32,overcast clouds
56,Albany,US,42.6001,-73.9662,27.52,67,1,3.24,clear sky
57,Trairi,BR,-3.2778,-39.2689,79.52,79,3,11.63,clear sky
58,Avarua,CK,-21.2078,-159.775,78.85,69,75,11.5,broken clouds
59,Polunochnoye,RU,60.8697,60.4153,3.24,96,100,3.6,light snow
60,Sorong,ID,-0.8833,131.25,81.09,82,99,10.13,overcast clouds
61,Ilulissat,GL,69.2167,-51.1,19.42,73,100,3.44,overcast clouds
62,Victoria,HK,22.2855,114.1577,62.26,74,2,1.01,clear sky
63,Coffs Harbour,AU,-30.3,153.1333,75.16,69,15,13.8,few clouds
64,Hobart,AU,-42.8794,147.3294,60.66,65,0,12.66,clear sky
65,Salalah,OM,17.0151,54.0924,78.89,44,0,8.05,clear sky
66,Olafsvik,IS,64.8945,-23.7142,33.46,64,0,8.68,clear sky
67,Carnarvon,AU,-24.8667,113.6333,68.92,63,34,22.86,scattered clouds
68,Lorengau,PG,-2.0226,147.2712,81.59,76,99,0.98,overcast clouds
69,Norman Wells,CA,65.282,-126.8329,-12.96,77,75,3.44,broken clouds
70,Constitucion,CL,-35.3333,-72.4167,67.26,53,0,21.03,clear sky
71,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,75,13.8,broken clouds
72,Dakar,SN,14.6937,-17.4441,77.88,79,0,14.56,clear sky
73,Aykhal,RU,66.0,111.5,-37.89,100,100,5.66,overcast clouds
74,Torbay,CA,47.6666,-52.7314,36.57,97,100,18.99,light intensity drizzle
75,Sao Filipe,CV,14.8961,-24.4956,77.63,72,17,5.44,few clouds
76,Tomigusuku,JP,26.185,127.675,69.57,78,20,10.36,few clouds
77,Zhangjiakou,CN,40.81,114.8794,14.23,44,0,2.98,clear sky
78,Batagay,RU,67.6333,134.6333,-36.69,97,100,2.3,overcast clouds
79,Sonoita,MX,31.85,-112.8333,65.26,20,0,1.5,clear sky
80,Yellowknife,CA,62.456,-114.3525,-1.68,78,100,6.91,light snow
81,Fuxin,CN,42.0156,121.6589,18.64,47,0,3.49,clear sky
82,Rairangpur,IN,22.2676,86.1751,59.47,46,51,0.92,broken clouds
83,East London,ZA,-33.0153,27.9116,72.5,89,100,10.47,overcast clouds
84,Hauknes,NO,66.2833,14.0667,4.8,82,40,2.3,scattered clouds
85,Castro,BR,-24.7911,-50.0119,70.14,83,70,4.99,broken clouds
86,Aloleng,PH,16.1307,119.7824,78.84,82,94,16.64,overcast clouds
87,Davila,PH,18.4726,120.5763,76.98,77,88,16.84,overcast clouds
88,Batemans Bay,AU,-35.7167,150.1833,62.1,55,6,4.59,clear sky
89,Jamame,SO,0.0722,42.7506,76.8,85,100,4.68,overcast clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,75.92,91,3,9.71,clear sky
91,Ust-Tsilma,RU,65.441,52.1498,-15.32,100,100,2.24,overcast clouds
92,Tigil,RU,57.8,158.6667,-4.4,97,96,6.17,overcast clouds
93,Vila Velha,BR,-20.3297,-40.2925,71.94,96,75,8.05,broken clouds
94,Midland,US,31.9974,-102.0779,65.68,81,100,3.44,haze
95,Tiksi,RU,71.6872,128.8694,-14.49,98,100,12.15,overcast clouds
96,Motala,SE,58.5371,15.0365,22.77,90,93,3.22,overcast clouds
97,Ciudad Bolivar,VE,8.1222,-63.5497,83.73,56,100,9.51,overcast clouds
98,Goderich,CA,43.7501,-81.7165,31.91,80,100,10.36,overcast clouds
99,San Patricio,US,28.017,-97.5169,80.69,70,96,12.35,overcast clouds
100,Sioux Lookout,CA,50.1001,-91.917,28.47,86,100,3.44,overcast clouds
101,Kutum,SD,14.2,24.6667,58.05,22,0,7.61,clear sky
102,Punta Arenas,CL,-53.15,-70.9167,55.51,41,0,28.77,clear sky
103,Puerto Ayora,EC,-0.7393,-90.3518,82.36,91,63,4.0,broken clouds
104,Butaritari,KI,3.0707,172.7902,81.75,78,80,15.05,broken clouds
105,Ribeira Grande,PT,38.5167,-28.7,66.78,83,17,38.99,light rain
106,Carutapera,BR,-1.195,-46.02,79.56,79,62,8.52,broken clouds
107,Conceicao Da Barra,BR,-18.5933,-39.7322,76.44,91,66,8.75,broken clouds
108,Tarsus,TR,36.9188,34.8784,49.87,66,78,3.58,broken clouds
109,Yuanping,CN,38.7153,112.7575,17.04,36,2,1.68,clear sky
110,Pervoye Maya,RU,56.164,44.7196,30.96,94,100,12.71,light snow
111,Adrar,MR,20.5022,-10.0711,78.57,13,25,6.42,scattered clouds
112,Wilmington,US,34.2257,-77.9447,57.11,63,100,5.75,overcast clouds
113,Hirado,JP,33.3597,129.5531,54.39,62,100,13.91,overcast clouds
114,Yerbogachen,RU,61.2767,108.0108,-16.62,100,99,3.44,overcast clouds
115,Chernyshevskiy,RU,63.0128,112.4714,-21.8,98,100,3.38,overcast clouds
116,Umm Bab,QA,25.2142,50.8072,66.58,50,0,16.17,clear sky
117,Westport,US,41.1415,-73.3579,38.75,66,100,8.05,overcast clouds
118,Tuatapere,NZ,-46.1333,167.6833,61.5,69,94,3.85,overcast clouds
119,Constantine,DZ,36.365,6.6147,53.01,76,75,11.5,broken clouds
120,Mar Del Plata,AR,-38.0023,-57.5575,77.83,51,0,17.27,light rain
121,Walvis Bay,NA,-22.9575,14.5053,63.55,82,0,2.3,clear sky
122,New Norfolk,AU,-42.7826,147.0587,60.3,56,99,3.0,overcast clouds
123,Sitka,US,57.0531,-135.33,33.69,51,0,3.44,clear sky
124,Kavaratti,IN,10.5669,72.642,81.03,71,20,13.94,few clouds
125,Bethel,US,41.3712,-73.414,37.49,59,75,4.61,broken clouds
126,Provideniya,RU,64.3833,-173.3,30.87,98,100,11.74,snow
127,Faanui,PF,-16.4833,-151.75,76.93,76,100,6.33,light rain
128,Salinas,US,36.6777,-121.6555,61.99,79,100,11.5,mist
129,Nuuk,GL,64.1835,-51.7216,27.21,74,0,10.36,clear sky
130,Omboue,GA,-1.5746,9.2618,78.08,85,100,4.88,light rain
131,Karlovac,HR,45.4872,15.5478,37.15,95,100,0.65,snow
132,Batagay-Alyta,RU,67.8006,130.4114,-33.59,87,99,3.8,overcast clouds
133,Jinka,ET,5.65,36.65,64.36,74,12,1.41,light rain
134,Zabid,YE,14.1951,43.3152,74.7,76,1,3.91,clear sky
135,Sechura,PE,-5.5569,-80.8222,74.57,65,43,17.16,scattered clouds
136,Saldanha,ZA,-33.0117,17.9442,69.85,79,32,4.23,scattered clouds
137,Vardo,NO,70.3705,31.1107,24.78,58,66,23.02,broken clouds
138,Thompson,CA,55.7435,-97.8558,21.36,93,100,3.44,light snow
139,Fort Nelson,CA,58.8053,-122.7002,-2.06,76,75,4.61,broken clouds
140,Severo-Kurilsk,RU,50.6789,156.125,25.9,73,100,6.31,overcast clouds
141,Bengkulu,ID,-3.8004,102.2655,74.95,89,100,6.82,light rain
142,Gigmoto,PH,13.7796,124.39,78.3,90,100,8.99,overcast clouds
143,Vagay,RU,57.9375,69.0217,6.17,95,100,5.23,light snow
144,Opotiki,NZ,-38.0833,177.2833,68.38,97,99,7.05,overcast clouds
145,Naryan-Mar,RU,67.6713,53.087,-0.76,99,100,3.09,overcast clouds
146,Alice Springs,AU,-23.7,133.8833,88.21,40,82,3.0,broken clouds
147,Jalu,LY,29.0331,21.5482,69.06,26,2,8.66,clear sky
148,Cuauhtemoc,MX,28.4167,-106.8667,64.11,23,34,18.21,scattered clouds
149,Kamenka,RU,51.3223,42.7678,29.48,91,100,18.92,overcast clouds
150,Leningradskiy,RU,69.3833,178.4167,-4.0,95,100,6.51,overcast clouds
151,Nyzy,UA,50.7828,34.7844,45.05,98,100,10.98,overcast clouds
152,Hastings,GB,50.8552,0.5729,38.95,87,24,1.9,few clouds
153,Prince Rupert,CA,54.3161,-130.3201,40.69,68,0,18.41,clear sky
154,Rundu,NA,-17.9333,19.7667,68.5,74,24,3.89,few clouds
155,Rantepao,ID,-2.9701,119.8978,65.71,96,95,2.08,overcast clouds
156,Inirida,CO,3.8653,-67.9239,76.77,92,75,0.83,broken clouds
157,Biak,ID,-0.9131,122.8766,76.32,79,71,1.9,broken clouds
158,Bathsheba,BB,13.2167,-59.5167,75.81,81,20,4.61,few clouds
159,Ponta Do Sol,PT,32.6667,-17.1,74.71,94,100,11.48,moderate rain
160,Coquimbo,CL,-29.9533,-71.3436,62.33,94,100,10.36,overcast clouds
161,Saint-Augustin,CA,51.226,-58.6502,12.06,73,4,15.84,clear sky
162,Ritchie,ZA,-29.038,24.6028,74.61,51,99,11.23,overcast clouds
163,Dawlatabad,AF,36.4141,64.9053,33.06,73,100,3.51,overcast clouds
164,Dingle,PH,10.9995,122.6711,73.71,93,100,1.72,overcast clouds
165,Yarada,IN,17.65,83.2667,75.52,88,75,2.3,mist
166,Baoying,CN,33.2292,119.3092,33.58,76,3,9.35,clear sky
167,Nikolskoye,RU,59.7035,30.7861,24.69,100,99,2.82,overcast clouds
168,Geraldton,AU,-28.7667,114.6,55.81,82,0,6.91,clear sky
169,Tabuk,PH,17.4189,121.4443,71.53,90,94,5.41,overcast clouds
170,Kruisfontein,ZA,-34.0033,24.7314,68.49,97,100,4.12,light rain
171,Clyde River,CA,70.4692,-68.5914,-16.37,76,0,9.22,clear sky
172,Makokou,GA,0.5738,12.8642,74.55,72,79,1.36,broken clouds
173,Naron,ES,43.5167,-8.1528,48.04,73,100,2.35,overcast clouds
174,Iqaluit,CA,63.7506,-68.5145,-7.87,71,20,23.02,few clouds
175,Araouane,ML,18.9048,-3.5265,71.38,12,0,7.72,clear sky
176,Muborak,UZ,39.2553,65.1528,31.28,60,0,3.22,clear sky
177,Lebowakgomo,ZA,-24.2,29.5,59.45,58,49,5.37,scattered clouds
178,Najran,SA,17.4924,44.1277,61.45,43,3,4.36,clear sky
179,Cayenne,GF,4.9333,-52.3333,77.04,88,75,3.44,broken clouds
180,Loandjili,CG,-4.7561,11.8578,77.52,90,99,6.69,moderate rain
181,Panguna,PG,-6.3164,155.4848,75.38,83,99,1.03,light rain
182,Pinega,RU,64.7001,43.3936,-7.91,96,100,4.81,overcast clouds
183,Kloulklubed,PW,7.0419,134.2556,75.7,71,29,1.68,scattered clouds
184,Mayumba,GA,-3.432,10.6554,77.45,88,99,7.29,light rain
185,Alta Floresta,BR,-9.8756,-56.0861,75.04,80,100,4.32,overcast clouds
186,Kysyl-Syr,RU,63.8986,122.7617,-34.92,100,98,3.58,overcast clouds
187,Korla,CN,41.7597,86.1469,21.34,24,0,12.26,clear sky
188,Evensk,RU,61.95,159.2333,-9.35,79,72,5.48,broken clouds
189,Akureyri,IS,65.6835,-18.0878,10.33,85,0,5.75,clear sky
190,Vredendal,ZA,-31.6683,18.5012,77.54,55,4,13.18,light rain
191,Oranzherei,RU,45.8476,47.5663,35.24,74,100,18.81,overcast clouds
192,Mehamn,NO,71.0357,27.8492,22.95,74,20,6.91,few clouds
193,Pisco,PE,-13.7,-76.2167,69.85,83,0,19.57,light rain
194,Katsuura,JP,35.1333,140.3,44.62,71,42,16.58,scattered clouds
195,Mackay,AU,-21.15,149.2,83.68,68,32,8.81,scattered clouds
196,Qasigiannguit,GL,68.8193,-51.1922,19.65,75,100,3.8,overcast clouds
197,Kavieng,PG,-2.5744,150.7967,81.81,78,100,8.93,moderate rain
198,Girau Do Ponciano,BR,-9.8842,-36.8289,76.87,76,100,14.23,overcast clouds
199,Lalibela,ET,12.0333,39.0333,56.05,57,3,6.69,clear sky
200,Dole,FR,47.0833,5.5,30.49,93,75,3.44,broken clouds
201,Alofi,NU,-19.0595,-169.9187,82.29,78,99,13.8,light rain
202,Quatre Cocos,MU,-20.2078,57.7625,76.08,76,36,11.07,scattered clouds
203,Ville-Marie,CA,47.3335,-79.433,19.71,67,100,7.29,overcast clouds
204,Hay River,CA,60.8156,-115.7999,-5.82,71,100,5.75,overcast clouds
205,Praia,CV,14.9215,-23.5087,75.74,83,20,18.41,few clouds
206,Taltal,CL,-25.4,-70.4833,66.9,75,90,2.62,overcast clouds
207,Izacic,BA,44.875,15.7819,33.39,99,100,4.5,snow
208,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.35,34,20,24.16,few clouds
209,Sukumo,JP,32.9333,132.7333,51.31,88,98,9.26,overcast clouds
210,Umba,RU,66.6871,34.3429,13.39,91,100,13.82,overcast clouds
211,Haimen,CN,23.1935,116.6142,60.69,70,73,11.77,broken clouds
212,Merauke,ID,-8.4667,140.3333,76.96,92,99,9.28,overcast clouds
213,Beira,MZ,-19.8436,34.8389,77.09,94,0,3.44,clear sky
214,Atambua,ID,-9.1061,124.8925,73.81,80,82,2.82,broken clouds
215,Puerto Madryn,AR,-42.7692,-65.0385,77.32,22,34,10.31,scattered clouds
216,Faya,SA,18.3851,42.4509,55.51,59,1,2.15,clear sky
217,Saskylakh,RU,71.9167,114.0833,-6.21,98,100,6.91,overcast clouds
218,Delemont,CH,47.3649,7.3445,32.02,98,73,1.34,broken clouds
219,Rajaldesar,IN,28.0333,74.4667,61.41,39,0,7.72,clear sky
220,Kahului,US,20.8947,-156.47,82.42,61,20,27.63,few clouds
221,Hilo,US,19.7297,-155.09,79.11,69,100,6.91,light rain
222,Bafia,CM,4.75,11.2333,71.01,58,0,2.01,clear sky
223,Tezu,IN,27.9167,96.1667,58.87,43,0,4.0,clear sky
224,Lerwick,GB,60.1545,-1.1494,35.6,58,93,17.02,overcast clouds
225,Ossora,RU,59.2353,163.0719,1.22,88,47,5.84,scattered clouds
226,Ternate,ID,0.8,127.4,80.51,79,93,4.68,overcast clouds
227,Udomlya,RU,57.8794,34.9925,16.81,97,100,6.51,overcast clouds
